date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
,,,,,,,,,,,
2026-08-13T19:25:07.957277,belle,victory,747.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:28:16.350495,belle,victory,757.0,11.0,2.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:38:32.806969,belle,defeat,768.0,-3.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:41:04.748368,belle,victory,765.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:42:17.636035,belle,victory,775.0,11.0,2.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:44:18.843344,belle,victory,786.0,12.0,3.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:45:22.852593,belle,defeat,798.0,-3.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:47:11.231636,belle,victory,795.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T19:48:57.506342,belle,defeat,805.0,-4.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-08-13T20:06:13.274659,belle,victory,801.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
